""	"TCGA-24-1924-01"	"TCGA-25-1628-01"	"TCGA-13-0916-01"	"TCGA-20-1687-01"	"TCGA-13-2060-01"	"TCGA-23-1023-01"	"TCGA-20-1682-01"	"TCGA-30-1860-01"	"TCGA-61-1995-01"	"TCGA-29-1701-01"	"TCGA-09-0366-01"	"TCGA-29-2427-01"	"TCGA-09-1666-01"	"TCGA-29-1784-01"
"SRI-AS1"	1	1	3	0	2	2	2	0	1	3	2	1	1	0
"SRL"	6	5	14	4	6	12	4	4	10	5	5	3	6	3
"SRM"	34	34	42	27	29	35	25	22	39	31	37	23	30	33
"SRMS"	6	4	7	5	4	6	2	3	5	4	8	3	4	8
"SRP14"	61	58	60	56	63	62	49	48	62	60	69	55	68	59
"SRP14-AS1"	20	20	22	18	20	16	16	13	23	16	24	13	18	16
"SRP19"	64	71	73	61	59	68	43	52	66	50	72	55	53	42
"SRP54"	32	45	48	30	31	47	35	27	52	40	51	25	42	44
"SRP54-AS1"	18	17	15	7	10	15	9	13	17	14	15	11	16	16
"SRP68"	53	54	59	39	56	70	38	40	55	60	52	37	57	47
"SRP72"	37	35	40	32	40	36	31	35	33	42	36	30	38	33
"SRP9"	44	39	47	35	39	38	42	42	47	45	43	38	44	46
"SRPK1"	56	46	62	31	41	56	36	39	50	55	61	30	45	45
"SRPK2"	63	57	66	47	53	59	49	37	71	52	58	45	59	60
"SRPK3"	33	22	17	7	5	17	12	8	12	6	34	20	24	34
"SRPRA"	36	40	41	34	36	42	37	32	49	33	40	28	38	40
"SRPRB"	35	31	36	27	29	29	33	33	37	32	38	24	29	42
"SRPX"	14	27	12	19	12	24	16	8	6	22	13	7	14	14
"SRPX2"	8	14	9	10	8	11	11	7	11	11	10	7	8	7
"SRR"	27	34	40	22	29	31	28	28	36	18	29	25	24	40
"SRRD"	22	18	21	18	20	21	17	17	21	15	19	16	21	21
"SRRM1"	97	112	93	79	78	85	69	69	124	75	124	53	99	89
"SRRM2"	130	165	171	122	143	173	144	122	159	103	212	143	112	156
"SRRM2-AS1"	17	20	22	10	7	20	14	19	20	14	31	15	17	15
"SRRM3"	4	17	19	10	8	19	21	14	11	9	17	16	14	13
"SRRM4"	6	8	9	4	12	9	5	5	9	6	8	4	5	3
"SRRM5"	5	7	8	3	5	6	4	4	11	5	7	5	6	7
"SRRT"	109	114	140	97	119	118	90	83	134	90	132	91	105	112
"SRSF1"	54	54	62	43	39	53	49	37	66	48	63	38	58	44
"SRSF10"	79	103	95	71	93	83	78	79	123	94	103	65	83	92
"SRSF11"	119	114	112	83	99	105	88	104	133	101	125	84	106	123
"SRSF12"	12	20	17	5	10	9	10	13	14	17	19	5	12	15
"SRSF2"	74	58	69	55	68	68	58	79	74	72	77	49	67	71
"SRSF3"	80	76	84	64	74	78	68	71	81	80	81	67	76	81
"SRSF4"	33	43	42	28	32	31	25	20	53	27	45	25	34	40
"SRSF5"	108	104	145	87	89	113	78	80	146	90	144	75	88	103
"SRSF6"	23	25	25	21	24	25	23	23	26	24	26	21	24	24
"SRSF7"	70	75	77	57	68	73	60	61	81	69	80	55	74	64
"SRSF8"	12	12	12	11	11	12	11	12	12	11	11	10	11	12
"SRSF9"	35	42	42	30	35	34	29	27	48	34	42	30	35	35
"SRXN1"	10	11	13	10	10	12	9	10	11	10	11	10	11	12
"SRY"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SS18"	80	71	89	44	100	73	61	74	72	62	80	32	57	76
"SS18L1"	22	24	23	16	20	23	15	19	26	18	25	12	16	22
"SS18L2"	19	17	21	14	16	18	17	10	19	19	21	12	18	17
"SSB"	47	56	67	40	50	47	36	31	72	30	58	28	51	46
"SSBP1"	102	86	103	61	83	72	84	86	88	81	92	59	84	120
"SSBP2"	50	79	87	52	71	73	44	38	102	66	90	31	61	83
"SSBP3"	94	93	105	68	65	105	80	81	110	79	112	70	64	98
"SSBP3-AS1"	5	6	9	3	2	6	6	4	8	4	8	4	3	6
"SSBP4"	73	90	113	67	68	102	57	70	94	52	117	60	75	89
"SSC4D"	12	20	20	13	14	15	12	12	19	15	20	11	16	15
"SSC5D"	16	27	23	13	17	24	17	13	17	11	22	15	12	12
"SSH1"	30	44	44	21	28	39	35	28	46	29	49	20	27	33
"SSH2"	42	48	46	34	47	45	36	32	49	38	52	29	35	39
"SSH3"	61	57	80	51	54	70	44	43	76	38	78	51	63	59
"SSMEM1"	0	0	3	0	1	1	0	0	0	1	1	0	0	0
"SSNA1"	31	29	38	27	27	32	27	30	28	34	34	25	26	33
"SSPN"	45	39	45	36	33	32	41	44	39	37	50	33	36	51
"SSPOP"	16	26	51	11	16	28	26	15	29	6	54	11	22	20
"SSR1"	59	55	61	44	70	60	54	64	56	65	70	49	55	65
"SSR2"	88	81	93	57	105	86	74	82	74	84	76	62	65	84
"SSR3"	68	68	75	51	65	69	63	71	65	67	76	54	55	70
"SSR4"	73	60	74	51	46	74	69	59	51	72	80	56	61	74
"SSRP1"	27	28	28	20	21	26	19	22	32	20	26	21	24	23
"SST"	16	6	13	9	10	7	7	12	11	9	8	3	13	12
"SSTR1"	3	5	5	3	0	8	1	1	5	3	5	2	4	2
"SSTR2"	8	8	8	5	7	11	6	7	7	6	7	6	7	6
"SSTR3"	5	9	8	3	2	8	0	3	15	2	4	2	4	4
"SSTR4"	0	2	4	0	0	1	6	0	4	0	0	0	0	0
"SSTR5"	0	0	1	0	0	6	0	1	1	0	1	0	0	0
"SSTR5-AS1"	2	3	6	3	2	15	1	2	6	3	8	4	4	4
"SSU72"	30	31	33	25	30	31	22	26	36	25	36	25	26	25
"SSUH2"	37	43	25	10	9	20	16	13	26	29	55	10	19	14
"SSX1"	1	0	0	3	6	5	2	1	2	5	3	1	2	2
"SSX2"	0	2	2	1	2	7	4	0	2	6	5	1	0	0
"SSX2B"	1	1	1	1	2	9	5	0	10	11	10	1	1	1
"SSX2IP"	37	33	44	23	36	32	31	37	56	22	35	17	35	43
"SSX3"	0	1	2	1	7	1	1	0	3	5	2	0	0	1
"SSX4"	4	1	3	1	18	4	1	2	4	20	3	4	0	1
"SSX4B"	4	1	3	1	18	4	1	2	4	20	3	4	0	1
"SSX5"	0	0	1	0	21	1	0	0	2	18	0	1	0	1
"SSX7"	2	3	4	0	1	2	0	2	2	0	0	0	1	0
"ST13"	42	44	54	45	40	48	40	40	53	37	52	41	48	52
"ST14"	23	30	30	24	21	28	26	29	38	21	24	21	25	25
"ST18"	12	10	4	7	2	4	6	5	12	1	15	2	11	9
"ST20"	19	20	26	14	20	19	16	18	20	16	25	16	21	20
"ST20-AS1"	7	8	9	9	7	8	6	6	8	7	9	7	8	7
"ST20-MTHFS"	10	15	22	3	15	12	13	11	11	11	19	5	14	15
"ST3GAL1"	41	55	33	47	23	65	37	40	57	49	54	37	33	39
"ST3GAL1-DT"	4	6	6	4	5	7	4	4	6	6	6	5	6	6
"ST3GAL2"	38	44	37	21	26	41	35	19	41	33	32	27	23	34
"ST3GAL3"	80	68	115	40	53	87	73	57	83	46	89	40	62	97
"ST3GAL3-AS1"	3	4	4	1	2	3	1	1	4	1	4	3	3	2
"ST3GAL4"	44	79	72	65	42	114	105	65	106	50	80	44	48	77
"ST3GAL5"	37	61	43	37	29	41	28	27	51	23	50	26	45	34
"ST3GAL5-AS1"	2	3	3	2	0	4	0	1	3	2	4	1	3	4
"ST3GAL6"	90	67	61	50	79	60	38	35	86	72	106	67	54	66
"ST3GAL6-AS1"	10	7	12	10	14	9	4	1	10	8	11	5	7	10
"ST6GAL1"	117	114	107	76	71	103	115	106	112	88	112	90	66	102
"ST6GAL2"	10	26	25	17	14	26	16	7	23	18	5	17	25	5
"ST6GAL2-IT1"	0	0	1	1	0	2	1	0	1	0	0	1	0	0
"ST6GALNAC1"	62	31	47	40	53	43	26	53	43	56	63	13	35	36
"ST6GALNAC2"	57	56	52	47	40	48	26	30	49	40	42	27	43	25
"ST6GALNAC3"	10	13	16	8	13	13	10	6	21	12	12	6	13	16
"ST6GALNAC4"	38	33	52	38	27	40	27	39	42	22	43	30	31	34
"ST6GALNAC5"	41	36	33	33	28	33	36	42	25	29	25	26	38	47
"ST6GALNAC6"	62	81	111	58	59	91	56	93	80	62	97	76	66	72
"ST7"	79	96	114	59	89	86	77	70	94	79	85	57	86	94
"ST7-AS1"	7	7	8	6	9	8	5	5	7	7	8	4	7	7
"ST7-AS2"	2	5	6	2	1	1	1	1	3	0	1	2	1	2
"ST7-OT4"	8	13	22	3	17	9	6	0	12	3	12	6	10	9
"ST7L"	105	86	130	60	86	90	74	65	111	82	119	60	95	113
"ST8SIA1"	27	43	55	23	22	27	37	26	24	22	30	22	29	26
"ST8SIA2"	4	17	6	9	3	12	10	3	14	15	7	4	3	12
"ST8SIA3"	2	4	6	0	0	3	0	0	0	5	0	0	0	3
