""	"TCGA-23-2078-01"	"TCGA-20-1687-01"	"TCGA-57-1582-01"	"TCGA-13-1410-01"	"TCGA-13-1405-01"	"TCGA-24-2271-01"	"TCGA-61-2111-01"	"TCGA-36-1574-01"	"TCGA-13-1505-01"
"PREB"	7345	2813	3412	5078	4204	2008	2735	4692	4329
"PRECSIT"	986	65	173	300	432	26	392	105	170
"PRELID1"	8483	10107	6288	8807	4402	1730	2985	6101	4062
"PRELID1P1"	52	39	19	38	11	7	12	33	14
"PRELID1P2"	0	0	0	0	0	0	0	0	0
"PRELID1P3"	12	5	1	6	2	2	1	1	4
"PRELID1P4"	20	2	13	12	7	2	6	9	5
"PRELID1P5"	43	48	16	70	18	1	20	46	9
"PRELID1P6"	137	156	80	160	31	13	48	83	46
"PRELID1P7"	1	0	0	0	0	0	0	0	0
"PRELID2"	1434	133	216	258	232	48	30	466	131
"PRELID2P1"	1	0	0	0	0	0	0	0	1
"PRELID3A"	149	48	98	172	148	81	44	447	113
"PRELID3B"	7674	5126	8866	14188	8647	1561	6087	9710	4201
"PRELID3BP1"	0	0	1	2	0	0	1	0	0
"PRELID3BP10"	7	0	8	9	4	0	6	5	0
"PRELID3BP11"	4	0	2	0	0	2	1	1	2
"PRELID3BP2"	0	0	0	0	0	0	0	0	0
"PRELID3BP3"	1	0	0	0	0	0	0	2	0
"PRELID3BP4"	3	0	1	0	0	0	1	0	2
"PRELID3BP5"	0	0	0	0	0	0	2	0	0
"PRELID3BP6"	8	0	1	2	0	0	0	0	2
"PRELID3BP7"	4	0	0	2	0	0	2	1	1
"PRELID3BP8"	0	0	0	0	0	0	0	0	0
"PRELP"	8638	3443	646	871	1370	24542	255	1195	2823
"PREP"	2100	1613	1915	2456	1509	682	1455	1644	1567
"PREPL"	7625	3267	4043	3721	6056	1576	2862	3901	3139
"PREX1"	4527	2664	1179	4856	2579	1122	2920	2311	2682
"PREX2"	944	558	974	1034	1412	1038	1498	2431	461
"PRF1"	754	96	75	318	801	173	108	476	125
"PRG2"	3	0	1	3	9	6	1	6	1
"PRG3"	0	0	0	0	0	0	0	0	0
"PRG4"	590	137	14	692	362	85	18	25	378
"PRH1"	34	8	7	6	17	17	10	11	28
"PRH2"	8	2	3	4	0	4	2	4	12
"PRICKLE1"	1729	373	673	1627	1442	202	554	751	791
"PRICKLE2"	1133	382	801	956	1770	332	427	668	808
"PRICKLE2-AS1"	0	0	0	0	0	0	0	0	0
"PRICKLE2-AS2"	3	0	0	0	0	3	0	0	1
"PRICKLE2-AS3"	5	2	2	0	2	3	0	4	9
"PRICKLE2-DT"	4	0	5	9	4	2	4	26	6
"PRICKLE3"	2574	2130	2412	3809	2729	1496	1299	1806	1908
"PRICKLE4"	39	1	3	55	8	6	12	20	61
"PRIM1"	676	190	1191	408	361	99	353	2552	603
"PRIM2"	777	695	3846	1005	899	318	903	2215	978
"PRIMA1"	3346	1069	457	11070	2359	2856	340	1885	882
"PRIMPOL"	845	193	735	607	1021	221	360	1574	471
"PRKAA1"	3718	2219	4924	3502	7126	1722	3999	6037	4282
"PRKAA2"	654	134	1412	751	452	476	1262	875	88
"PRKAB1"	3403	1017	2285	1767	2094	966	6136	5531	3642
"PRKAB2"	1430	823	1310	1466	1162	846	757	940	2277
"PRKACA"	14511	4472	5664	23520	7452	3535	4330	6008	4267
"PRKACB"	1708	521	1086	1795	1550	459	841	1309	1188
"PRKACB-DT"	68	2	41	15	33	14	27	56	58
"PRKACG"	2	0	0	3	0	0	1	0	0
"PRKAG1"	6014	2716	5320	4517	2441	811	2455	5297	4135
"PRKAG2"	1836	2202	1251	2032	3575	935	1685	2444	2315
"PRKAG2-AS1"	68	374	23	86	530	80	77	291	673
"PRKAG3"	2	2	0	2	2	2	0	0	37
"PRKAR1A"	17380	6078	15074	8777	10546	4637	10471	17943	6339
"PRKAR1AP1"	3	0	1	2	0	2	1	2	1
"PRKAR1B"	1726	3007	544	3280	3845	1565	895	1222	1224
"PRKAR1B-AS1"	45	15	16	53	36	27	17	48	16
"PRKAR1B-AS2"	18	2	0	3	2	16	4	2	6
"PRKAR2A"	12048	5772	3970	8924	7988	1790	2923	4831	4757
"PRKAR2A-AS1"	126	116	85	394	202	16	210	198	137
"PRKAR2B"	3064	573	204	536	2620	327	79	813	746
"PRKAR2B-AS1"	23	1	0	0	9	0	0	4	3
"PRKCA"	7274	1136	2705	294	3167	1662	1017	5204	1075
"PRKCA-AS1"	22	0	1	0	2	2	1	7	3
"PRKCB"	2161	180	570	329	578	334	155	236	296
"PRKCD"	5949	7648	8011	10210	14553	5044	4519	6006	4656
"PRKCE"	3194	1441	2399	3172	1696	810	1158	891	474
"PRKCE-AS1"	19	1	6	4	2	3	3	4	1
"PRKCG"	210	14	15	32	126	85	115	38	409
"PRKCH"	1773	669	414	569	1193	486	2032	1420	788
"PRKCI"	27686	12127	43708	27226	24089	8390	11194	19094	16075
"PRKCIP1"	54	23	92	62	38	8	25	37	20
"PRKCQ"	408	974	51	1474	658	618	330	556	138
"PRKCQ-AS1"	358	419	46	556	187	304	170	485	109
"PRKCSH"	40450	25667	21115	87194	34205	13427	19005	37539	20398
"PRKCZ"	2741	1833	2542	1853	2627	581	1298	1307	2150
"PRKCZ-AS1"	245	64	87	193	179	74	128	56	253
"PRKD1"	1037	201	139	262	672	167	611	753	1071
"PRKD2"	7121	3831	3941	18808	6889	3184	2395	2734	3652
"PRKD3"	4353	1230	713	2746	5174	1023	1866	3892	3096
"PRKDC"	18623	6401	22880	17586	17701	4019	7145	15001	14509
"PRKG1"	805	151	191	286	451	153	35	254	374
"PRKG1-AS1"	4	0	2	4	10	0	0	0	0
"PRKG2"	10	55	56	22	12	23	33	59	71
"PRKG2-AS1"	0	0	0	0	0	0	0	1	0
"PRKN"	215	100	135	52	135	24	263	77	152
"PRKRA"	2709	1043	3838	4070	4208	873	2641	3684	3860
"PRKRIP1"	3016	663	1089	2924	3086	920	1082	1595	1304
"PRKX"	6525	4256	7979	11573	14454	7534	2224	10570	1983
"PRKX-AS1"	13	5	3	7	11	6	1	11	3
"PRKXP1"	144	21	18	6	14	30	33	13	8
"PRKY"	5	0	8	8	9	4	2	16	0
"PRL"	2	0	1	1	11	2	9	1	2
"PRLH"	1	0	1	0	2	1	6	14	0
"PRLHR"	0	0	0	1	0	0	2	0	0
"PRLR"	799	112	323	32	56	7	677	67	193
"PRM1"	0	0	3	2	1	0	0	0	3
"PRM2"	3	0	7	2	0	1	0	1	5
"PRM3"	1	0	2	5	0	0	1	0	5
"PRMT1"	9362	5668	14847	17128	16937	5007	4921	8531	8169
"PRMT1P1"	10	8	12	12	16	4	10	12	5
"PRMT2"	5406	5015	3194	9351	8328	1836	4627	3524	4194
"PRMT3"	1297	865	1842	1464	1398	550	480	2421	1043
"PRMT5"	6656	3433	10071	4736	3469	2071	3589	9058	3738
"PRMT5-AS1"	90	17	49	22	23	37	40	23	50
"PRMT5P1"	0	3	1	0	0	0	1	1	0
"PRMT6"	2444	387	3506	2340	1871	602	1054	2490	1086
"PRMT7"	1889	752	1056	1678	1718	887	1593	2654	1247
"PRMT8"	3	2	1	2	4	3	3	0	2
"PRMT9"	944	181	381	461	618	187	660	500	305
"PRND"	38	12	20	28	39	51	11	21	30
"PRNP"	8366	7917	2179	3975	14147	5912	2425	12045	4740
"PRNT"	0	0	0	0	0	0	0	0	0
"PROB1"	468	203	246	540	567	132	227	575	153
"PROC"	91	27	31	99	70	40	19	23	72
"PROCA1"	461	53	306	221	409	92	202	137	250
"PROCR"	501	357	126	835	818	170	143	606	883
"PRODH"	180	28	33	22	16	35	65	6	10
"PRODH2"	2	0	1	2	0	0	0	1	0
"PROK1"	12	4	2	23	25	2	10	4	2
"PROK2"	103	4	8	2	6	4	6	17	14
"PROKR1"	4	0	9	1	3	4	7	1	0
"PROKR2"	2	0	2	1	0	0	8	13	4
"PROM1"	143	316	22	382	1448	33	8322	4606	2580
"PROM2"	6829	15664	6404	5360	51125	11622	1885	3891	2430
"PROP1"	16	0	2	1	0	0	0	0	2
"PRORP"	408	121	312	271	245	84	197	374	267
"PRORSD1P"	320	79	70	73	104	66	192	218	150
"PRORY"	0	0	0	0	0	0	0	0	0
"PROS1"	1173	426	314	2560	2750	1406	256	1391	2070
"PROS2P"	2	0	2	0	0	1	1	1	0
"PROSER1"	7448	2367	6900	5757	6268	2559	3636	2713	2758
"PROSER2"	896	1920	1318	1372	5428	1228	2785	2144	2450
"PROSER2-AS1"	45	28	96	63	202	39	61	110	132
"PROSER3"	3464	729	2709	2096	1817	967	1464	1181	2137
"PROX1"	99	20	84	16	45	15	27	52	36
"PROX1-AS1"	6	0	4	1	1	0	2	3	1
"PROX2"	121	4	11	4	19	40	15	4	14
"PROZ"	49	4	4	31	8	7	6	8	3
"PRPF18"	404	272	591	688	780	237	499	710	1441
"PRPF19"	6611	5007	7154	9437	7807	3908	5314	8912	4296
"PRPF19P1"	0	1	0	0	0	0	0	0	0
"PRPF3"	4285	1261	2727	3133	2675	2163	2157	2156	2945
"PRPF31"	4845	1981	2921	6154	5382	1108	1528	2118	2043
"PRPF38A"	5480	2288	4332	4264	4014	2260	3090	4682	3100
"PRPF38AP1"	2	1	1	2	0	0	1	0	0
"PRPF38AP2"	4	3	1	4	3	1	2	1	1
"PRPF38B"	6410	1652	2943	3741	3738	3375	2580	3422	2937
"PRPF39"	2358	477	1319	1193	1172	742	928	1481	1287
"PRPF4"	4526	2270	5782	2014	3451	1521	5437	7341	2954
"PRPF40A"	11326	6128	10289	8464	9203	2848	3719	9513	6528
"PRPF40B"	1635	401	774	1466	646	176	951	469	1184
"PRPF4B"	10744	1978	5929	2538	3570	1661	2878	4530	3828
"PRPF4BP1"	3	0	0	0	2	0	0	2	0
"PRPF6"	15476	10685	12331	15096	5967	3655	8034	6333	6270
"PRPF8"	28810	14557	23944	25166	19778	6078	14471	16912	35756
"PRPH"	51	3	17	42	17	14	151	17	57
"PRPH2"	115	31	31	63	53	46	8	26	153
"PRPS1"	2647	764	2885	2647	1985	613	1740	2353	1028
"PRPS1L1"	1	0	1	2	0	0	1	2	0
"PRPS1P1"	0	0	0	0	0	0	0	0	0
"PRPS1P2"	114	7	50	43	70	34	90	98	88
"PRPS2"	2554	3148	3708	5169	3972	825	2621	6634	1477
"PRPSAP1"	3550	1025	2683	2455	1932	833	1238	5563	1812
"PRPSAP2"	1305	594	1637	1587	937	506	990	1401	1304
"PRR11"	4549	329	2491	2272	2407	328	2088	3790	694
"PRR12"	8489	5724	6761	13038	11663	4247	3242	3296	6723
"PRR13"	3347	4323	4221	4247	4113	2188	2395	5805	3984
"PRR13P1"	0	2	1	5	2	2	0	0	1
"PRR13P2"	21	6	7	6	14	8	6	2	12
"PRR13P3"	9	3	2	2	10	0	5	1	2
"PRR13P4"	1	2	0	1	0	0	1	1	0
"PRR13P5"	90	96	125	281	124	42	67	120	67
"PRR13P7"	0	0	1	1	0	0	1	1	0
"PRR14"	5955	2337	2925	4092	2748	3069	3279	2809	2534
"PRR14L"	3981	2025	3107	3462	4608	1187	3495	3180	1853
"PRR15"	743	1432	486	679	3575	1212	3833	1508	1621
"PRR15L"	866	3290	1250	2762	5167	530	3335	576	620
"PRR16"	144	105	42	324	144	22	37	186	79
"PRR18"	8	9	3	2	8	0	11	42	1
"PRR19"	307	115	325	359	329	105	111	527	85
"PRR20A"	0	0	0	0	0	0	2	0	0
"PRR20B"	0	0	0	0	0	0	0	0	0
"PRR20C"	0	0	0	0	0	0	0	0	0
"PRR20D"	0	0	0	0	0	0	0	0	0
"PRR20E"	0	0	0	0	0	0	0	0	0
"PRR20FP"	0	0	0	0	0	0	0	0	0
"PRR20G"	3	0	32	12	0	0	18	1	1
"PRR22"	301	43	204	60	73	267	126	76	230
"PRR23A"	0	0	0	0	7	0	0	0	0
"PRR23B"	1	0	0	0	184	0	0	0	0
"PRR23C"	0	1	0	0	1189	0	0	0	0
"PRR23D1"	0	0	0	0	0	0	0	0	0
"PRR23D2"	0	0	0	0	0	0	0	0	0
"PRR23D3P"	5	0	1	0	0	0	0	0	0
"PRR27"	2	0	0	1	0	0	0	0	0
"PRR29"	400	34	197	144	147	72	131	423	75
"PRR29-AS1"	21	0	3	9	8	4	7	10	2
"PRR3"	1479	703	1712	1584	811	403	1148	1911	3050
"PRR30"	0	0	2	0	1	0	0	2	0
"PRR32"	5	2	7	4	2	0	0	0	0
"PRR34"	66	17	49	12	59	11	14	125	40
"PRR34-AS1"	274	131	92	238	268	53	25	487	83
"PRR35"	6	0	5	2	30	0	13	1	11
"PRR36"	8039	1207	2486	3465	6675	1988	2525	1242	2587
"PRR4"	110	26	26	26	41	67	52	76	135
"PRR5"	1333	886	1658	1589	754	531	371	2064	415
"PRR5-ARHGAP8"	34	16	60	56	32	45	10	68	40
"PRR5L"	742	338	489	1478	2158	583	436	1553	555
"PRR7"	2153	518	1569	1502	2584	603	978	1472	1017
"PRR7-AS1"	201	11	28	24	58	21	11	34	42
"PRR9"	7	28	8	53	41	5	0	1	42
"PRRC1"	6761	5088	2055	5348	4200	1222	1879	5611	1641
"PRRC2A"	39242	19706	32526	50204	36111	9789	22230	40534	23955
"PRRC2C"	17633	9599	13247	17422	16801	9302	12730	10271	12309
"PRRC2CP1"	0	0	0	0	0	0	0	0	0
"PRRG1"	1531	525	1162	1107	1600	283	750	913	141
"PRRG2"	381	490	919	1762	1276	329	287	577	528
"PRRG3"	219	91	53	43	105	56	89	52	65
"PRRG4"	1384	2526	270	4778	4513	863	1325	3364	839
"PRRT1"	252	113	351	331	571	128	281	388	498
"PRRT2"	238	72	203	122	121	253	89	88	966
"PRRT3"	961	623	1629	1267	5230	1528	460	2767	2781
"PRRT3-AS1"	88	25	5	441	266	13	90	12	36
"PRRT4"	131	2	4	19	60	8	13	6	15
"PRRX1"	6513	849	841	3187	3096	1121	2613	3379	2934
"PRRX2"	1413	955	590	1656	1477	3683	232	4665	527
"PRRX2-AS1"	8	1	0	2	3	19	0	3	1
"PRSS1"	2028	136	62	1239	93	501	84	479	163
"PRSS12"	546	339	582	185	946	162	842	1248	24
"PRSS16"	300	1303	723	1350	978	362	1371	1474	1251
"PRSS2"	3536	235	247	2054	259	1174	58	699	170
"PRSS21"	618	1147	1009	1410	8	3770	40	82	477
"PRSS22"	1955	1720	1060	1007	2236	636	2720	840	1217
"PRSS23"	9412	2501	11126	12151	6607	1533	1281	16201	2980
"PRSS27"	185	33	83	49	126	219	102	52	189
"PRSS29P"	4	0	0	1	0	0	1	0	2
"PRSS3"	30	5	5	8	27	13	40	9	12
"PRSS30P"	563	58	172	77	237	182	161	42	3
"PRSS33"	13	49	41	64	3041	2464	6	333	1958
"PRSS35"	37	33	22	11	19	21	8	22	98
"PRSS36"	297	106	193	140	365	97	149	213	102
"PRSS37"	17	4	2	2	2	1	3	0	15
"PRSS38"	3	0	0	2	1	2	0	2	2
"PRSS3P1"	36	0	5	1	0	6	0	1	2
"PRSS3P3"	0	0	0	0	0	0	0	0	0
"PRSS3P4"	0	0	0	0	0	0	0	2	0
"PRSS40A"	0	0	0	0	2	0	0	0	0
"PRSS40B"	0	0	0	0	0	0	0	0	0
"PRSS41"	0	0	2	5	4	11	0	2	2
"PRSS42P"	12	0	8	10	3	12	11	15	21
"PRSS44P"	9	2	8	10	1	7	11	10	35
"PRSS45P"	23	2	30	49	2	61	16	42	165
"PRSS46P"	13	0	14	13	0	43	6	13	38
"PRSS47"	0	0	0	2	0	3	0	0	0
"PRSS48"	12	0	2	1	60	5	3	8	5
"PRSS51"	124	1	22	15	6	189	6	35	7
"PRSS53"	238	7	67	58	157	110	49	52	165
"PRSS54"	2	0	1	0	0	0	1	1	1
"PRSS55"	13	0	1	2	1	7	0	1	0
"PRSS56"	3	0	1	1	1	0	166	1	181
"PRSS57"	9	5	3	1	2	3	2	0	0
"PRSS58"	0	0	0	0	0	0	0	0	0
"PRSS8"	21481	9436	26679	10881	32520	3848	16549	8052	6485
"PRTFDC1"	203	73	390	453	275	136	497	1309	533
"PRTG"	244	32	70	50	119	29	58	42	54
"PRTN3"	0	0	1	1	0	0	0	3	2
"PRUNE1"	3617	2919	4452	8343	3850	1446	3844	3947	4238
"PRUNE2"	503	2940	8334	269	981	4990	313	933	1784
"PRUNEP1"	0	0	0	0	0	1	0	0	0
"PRX"	555	240	428	1012	284	121	84	235	329
"PRXL2A"	7024	3714	1888	5027	5972	2802	5520	6927	3488
"PRXL2AP1"	1	0	0	0	0	0	0	0	0
"PRXL2AP2"	7	1	0	3	2	2	2	1	1
"PRXL2B"	4784	5840	4437	4390	3710	687	2224	4815	2068
"PRXL2C"	1313	630	1003	1595	1423	389	505	1230	733
"PRXL2CP1"	1	0	0	0	0	0	0	0	1
"PRY"	0	0	0	0	0	0	0	0	0
"PRY2"	0	0	0	0	0	0	0	0	0
"PRYP1"	0	0	0	0	0	0	0	0	0
"PRYP2"	0	0	0	0	0	0	0	0	0
"PRYP3"	0	0	0	0	0	0	0	0	0
"PRYP4"	0	0	0	0	0	0	0	0	0
"PRYP5"	0	0	0	0	0	0	0	0	0
"PRYP6"	0	0	0	0	1	0	0	0	0
"PSAP"	90485	64723	75854	84337	132791	26729	90208	131734	55679
"PSAPL1"	6	0	0	1	1	0	0	0	1
"PSAT1"	20358	6037	19701	13473	9253	4151	2440	4639	7127
"PSAT1P1"	2	1	2	0	1	0	0	0	0
"PSAT1P2"	0	0	0	0	2	0	0	0	0
"PSAT1P3"	17	8	23	11	5	0	1	7	4
"PSAT1P4"	9	2	5	4	2	0	0	1	1
"PSCA"	38	683	96	42	37	83	5	743	50
"PSD"	710	76	303	728	371	303	643	505	672
"PSD2"	125	7	49	63	469	17	40	15	140
"PSD2-AS1"	36	3	2	2	11	1	5	1	3
"PSD3"	1065	283	298	513	1721	377	1100	766	584
"PSD4"	6494	4563	3703	6136	5918	2930	2307	2506	2342
"PSEN1"	6862	4365	5019	5576	4849	2018	3760	3486	3522
"PSEN2"	668	612	685	2664	923	558	810	616	614
"PSENEN"	4765	5343	7462	8491	6717	1923	2753	6991	3631
"PSG1"	0	0	0	1	0	0	0	2	0
"PSG10P"	0	0	0	0	0	0	0	0	1
"PSG11"	0	0	0	0	1	0	0	0	0
"PSG2"	3	0	0	2	0	0	0	0	0
"PSG3"	1	0	0	2	1	0	0	0	0
"PSG4"	0	86	38	0	4	0	0	0	0
"PSG5"	0	0	2	1	0	0	0	0	1
"PSG6"	0	0	0	0	0	0	0	0	0
"PSG7"	1	0	0	0	0	0	0	0	0
"PSG8"	0	0	2	0	0	0	0	0	0
"PSG8-AS1"	3	0	1	0	1	0	1	0	0
"PSG9"	2	0	1	2	0	0	0	2	0
"PSIP1"	7267	4445	2133	4256	10812	2802	5419	8431	8634
"PSIP1P1"	13	6	3	8	14	2	12	10	6
"PSKH1"	3886	1216	2319	2284	3255	854	1074	3464	2149
"PSKH2"	0	0	0	1	0	0	0	0	0
"PSLNR"	315	0	1979	1	0	0	6	8	5
"PSMA1"	5487	1643	3972	5620	7061	1527	1889	9180	2396
"PSMA1P1"	8	0	6	4	4	0	2	2	7
"PSMA2"	1614	1894	1631	3389	3269	730	815	1935	1415
"PSMA2P1"	10	5	4	2	6	6	1	2	2
"PSMA2P2"	1	0	0	1	1	0	0	1	0
"PSMA2P3"	5	4	11	6	2	0	2	3	1
"PSMA3"	5468	2901	3742	4676	3239	1669	2833	4611	2556
"PSMA3-AS1"	3103	554	1179	1334	1399	1355	1102	891	1623
"PSMA3P1"	1	0	0	0	1	0	0	1	0
"PSMA4"	7947	3730	9804	5138	5288	2142	3977	13283	4562
"PSMA5"	6783	3849	6114	8217	6558	3240	5291	11992	3253
"PSMA5P1"	0	0	0	0	0	0	0	0	0
"PSMA6"	1675	728	2438	1861	1067	551	715	3274	1061
"PSMA6P1"	61	22	80	23	30	10	11	90	22
"PSMA6P2"	14	0	21	4	7	1	3	12	1
"PSMA6P3"	0	0	0	0	0	0	0	0	0
"PSMA6P4"	1	1	2	1	0	0	0	1	0
"PSMA7"	10757	7503	11647	16007	12646	3056	7878	14314	6723
"PSMA8"	1	0	1	1	1	0	0	2	1
"PSMB1"	5837	4117	5200	5835	6511	1672	5562	8841	5277
"PSMB10"	1112	1127	346	2256	1969	834	784	4461	616
"PSMB11"	1	0	1	0	0	1	1	0	0
"PSMB2"	15573	7452	12556	16606	20238	3796	5574	22704	9266
"PSMB3"	6240	5452	9254	11250	7823	2263	3057	10451	5261
"PSMB3P1"	2	1	3	3	1	1	1	4	1
"PSMB3P2"	59	2	0	3	2	1	1	1	1
"PSMB4"	16025	12136	14510	27063	20337	6021	11210	33504	14355
"PSMB5"	8954	3809	12529	8753	5771	2714	5130	14226	4600
"PSMB6"	4893	2736	3663	6522	3634	1108	1858	3995	4573
"PSMB7"	12032	6407	10158	5865	10245	2437	2554	17890	5769
"PSMB7P1"	0	0	0	0	0	0	0	0	0
"PSMB8"	3294	5524	751	8225	6018	2246	3314	14214	3191
"PSMB8-AS1"	468	259	83	1112	593	235	391	1059	273
"PSMB9"	1785	2540	542	10237	3038	1406	1051	6613	1263
"PSMC1"	2718	1016	2089	2545	2107	797	1306	1773	1198
"PSMC1P1"	162	46	85	140	91	15	66	126	41
"PSMC1P10"	3	2	1	3	2	1	0	2	0
"PSMC1P11"	6	1	0	2	1	1	1	2	1
"PSMC1P12"	2	2	1	2	0	0	0	0	0
"PSMC1P13"	0	0	0	0	0	0	0	0	0
"PSMC1P2"	1	0	2	0	0	0	0	0	1
"PSMC1P3"	0	2	4	1	1	0	1	0	1
"PSMC1P4"	2	0	1	3	0	0	0	2	2
"PSMC1P5"	3	0	0	2	1	0	0	2	1
"PSMC1P6"	1	0	0	0	0	0	0	0	1
"PSMC1P7"	3	0	0	1	3	0	0	0	0
"PSMC1P8"	0	0	1	1	0	0	0	1	0
"PSMC1P9"	11	9	9	7	6	1	7	9	1
"PSMC2"	5347	3325	5485	9513	8302	2124	2587	8657	3492
"PSMC2P1"	14	11	8	27	16	2	8	29	6
"PSMC2P2"	0	0	1	0	0	0	0	0	0
"PSMC3"	9087	3616	4225	11148	9073	2246	2363	9459	3969
"PSMC3IP"	287	50	416	292	216	74	92	173	214
"PSMC4"	12287	4478	10439	10971	8922	3843	6753	11534	4232
"PSMC5"	9296	5373	7565	5562	5099	3027	5571	10717	3684
"PSMC6"	5320	2541	3622	3922	3219	1639	2903	7814	2827
"PSMD1"	8138	3498	9653	8957	6820	2541	4296	7118	4252
"PSMD10"	4175	1200	4675	3620	3417	1235	2333	6105	2304
"PSMD10P1"	54	5	6	27	9	20	10	7	20
"PSMD10P2"	6	0	5	8	18	6	2	12	2
"PSMD10P3"	7	0	1	0	0	0	0	1	1
"PSMD11"	5962	2887	9252	8989	8572	1808	3249	8681	4057
"PSMD12"	6601	2000	6078	3296	3435	1335	2866	8483	1711
"PSMD12P1"	15	0	6	3	3	0	2	3	0
"PSMD13"	4171	2347	5659	7705	9191	2392	3127	6809	3519
"PSMD14"	3777	2672	7060	3883	6996	1296	2202	7930	3099
"PSMD14P1"	0	0	0	0	3	0	0	0	0
"PSMD2"	22468	10462	30773	36005	34503	7150	12831	28347	17725
"PSMD3"	7273	4237	13202	11248	9077	2215	5090	9169	5287
"PSMD4"	5846	5182	6224	11350	7011	3057	4797	8035	5867
"PSMD4P1"	0	0	0	0	0	0	0	0	0
"PSMD5"	4233	3822	4003	2829	9024	2048	1602	2667	3764
"PSMD6"	6380	2878	5707	5693	5464	1570	1827	6004	4111
"PSMD6-AS1"	0	0	0	0	0	0	0	0	0
"PSMD6-AS2"	84	21	27	54	93	45	35	28	69
"PSMD7"	2859	771	2934	3136	3638	739	1830	7715	2014
"PSMD7-DT"	3	1	3	0	1	0	6	13	4
"PSMD7P1"	3	0	0	1	2	0	1	4	0
"PSMD8"	18506	10068	17060	30398	17338	4486	6901	22939	9278
"PSMD8P1"	15	4	9	19	3	3	3	17	0
"PSMD9"	1580	589	779	837	1167	549	587	1150	1379
"PSME1"	10148	15746	13672	19608	10637	7765	8434	24927	8461
"PSME2"	8064	8809	6578	14641	7132	6627	4076	15677	4316
"PSME2P1"	123	134	66	107	101	27	41	164	38
"PSME2P2"	99	131	110	192	80	28	34	263	45
"PSME2P3"	21	30	6	9	7	3	14	24	4
"PSME2P4"	0	0	0	1	1	0	0	2	0
"PSME2P5"	2	2	0	2	1	0	0	0	2
"PSME2P6"	8	9	2	28	7	6	7	12	9
"PSME3"	9579	5160	16325	14650	10981	2747	4187	20629	6733
"PSME3IP1"	4140	1815	5225	3420	3862	1302	2918	8287	3033
"PSME4"	7876	2597	4560	4841	7714	1789	3540	4246	4634
"PSMF1"	22118	8547	10217	15179	11518	5110	4607	12827	8817
"PSMG1"	2713	1384	2156	4145	3299	572	1131	4306	1385
"PSMG2"	4442	3190	3506	7503	3781	1057	2165	6739	3556
"PSMG3"	2014	1996	754	3392	1934	757	652	1466	1267
"PSMG3-AS1"	289	1031	198	239	680	562	99	456	241
"PSMG4"	1214	616	569	613	677	240	237	1080	593
"PSORS1C1"	165	92	46	447	334	170	41	775	124
"PSORS1C2"	5	1	17	93	22	7	10	44	12
"PSORS1C3"	5	78	0	679	41	42	108	1167	45
"PSPC1"	3083	1639	3575	3309	2631	1066	1404	2586	1889
"PSPC1-AS2"	46	10	7	6	26	21	11	10	14
"PSPC1P1"	5	4	5	0	1	0	1	4	8
"PSPC1P2"	0	0	0	0	0	0	0	0	0
"PSPH"	660	1034	1317	1405	2385	394	923	1833	1063
"PSPHP1"	56	0	3	0	992	1	2	458	0
"PSPN"	750	255	244	169	240	153	57	158	192
"PSRC1"	2559	385	1191	4689	2057	1099	1028	910	1408
"PSTK"	943	505	247	368	200	158	386	137	422
"PSTPIP1"	583	142	89	175	248	337	89	192	190
"PSTPIP2"	846	301	445	426	2057	613	765	3318	317
"PTAFR"	1431	1283	1313	1165	4133	750	936	3074	388
"PTAR1"	4126	1826	2021	1291	2997	1339	1025	1556	2348
"PTBP1"	33980	15758	25857	27740	24567	14285	14107	23917	17328
"PTBP1P"	112	19	63	24	7	54	7	28	4
"PTBP2"	2311	295	1664	1478	2456	1127	2525	1794	1696
"PTBP3"	7254	4772	5814	6193	8598	1898	3669	9787	5052
"PTCD1"	577	428	512	849	687	315	213	591	355
"PTCD2"	846	399	673	391	640	340	330	1387	579
"PTCD2P1"	0	1	0	0	0	0	0	0	0
"PTCD2P2"	0	0	0	0	0	0	0	0	0
"PTCD3"	8910	3382	12659	3508	4846	2530	2369	2551	5591
"PTCH1"	2628	1524	1651	1292	1176	1040	1121	1177	1608
"PTCH2"	213	26	61	218	125	219	857	121	515
"PTCHD1"	10	168	23	14	61	1	19	3	0
"PTCHD1-AS"	3	2	3	1	0	0	0	0	0
"PTCHD3"	5	0	3	152	214	0	16	54	7
"PTCHD3P1"	0	0	0	0	0	0	0	0	0
"PTCHD3P2"	7	0	1	6	1	0	4	7	7
"PTCHD3P3"	2	4	3	0	1	0	3	0	10
"PTCHD4"	103	11	22	37	47	11	28	51	20
"PTCRA"	18	1	2	14	7	6	7	12	5
"PTCSC2"	0	0	1	0	0	0	0	0	0
"PTCSC3"	5	0	3	0	2	2	2	0	3
"PTDSS1"	15229	8781	10502	10863	10226	3643	2800	9394	5273
"PTDSS2"	2914	1250	2456	2347	2479	1770	802	1619	1281
"PTEN"	9697	3400	3468	12256	4090	3899	4329	3966	6453
"PTENP1"	67	27	17	99	30	15	35	20	33
"PTENP1-AS"	0	5	0	0	0	0	0	0	2
"PTER"	551	835	2408	980	908	461	921	1528	611
"PTF1A"	18	35	10	0	0	2	0	0	0
"PTGDR"	67	12	6	25	70	28	5	19	25
"PTGDR2"	16	10	7	10	16	6	4	23	3
"PTGDS"	16327	2989	3026	6491	80054	3844	5204	3426	5796
