""	"TCGA-23-2078-01"	"TCGA-20-1687-01"	"TCGA-57-1582-01"	"TCGA-13-1410-01"	"TCGA-13-1405-01"	"TCGA-24-2271-01"	"TCGA-61-2111-01"	"TCGA-36-1574-01"	"TCGA-13-1505-01"
"USP31"	1401	320	1259	1065	867	548	1783	1718	636
"USP32"	3101	991	2632	2085	1755	1143	2258	3743	926
"USP32P1"	31	1	36	1	4	0	1	0	5
"USP32P2"	8	1	1	2	9	2	8	0	30
"USP32P3"	36	7	7	35	55	52	34	32	20
"USP33"	4562	1986	5232	4316	4600	1909	4995	8548	2124
"USP34"	9608	2291	2497	3845	4331	1827	3787	2751	3884
"USP34-DT"	325	155	68	190	206	117	144	150	161
"USP35"	900	221	344	1453	1709	1798	328	734	1207
"USP36"	10723	3497	5491	3802	3062	2689	1268	5441	2155
"USP37"	719	180	723	535	561	174	431	1026	462
"USP37P1"	0	0	0	0	0	0	0	0	0
"USP38"	5780	1089	2633	3053	4456	705	1682	2342	1244
"USP39"	8151	3076	9328	6281	5681	1984	2697	3373	5190
"USP4"	8125	4836	1973	6872	7194	2401	3079	5498	4401
"USP40"	4290	1424	3961	3580	2794	1487	2037	1853	1448
"USP41"	19	0	2	14	2	1	3	11	3
"USP42"	2325	1849	971	4787	2503	820	1418	1158	1554
"USP43"	532	312	327	521	623	353	397	524	475
"USP44"	113	27	4	117	74	21	219	158	92
"USP45"	590	317	296	347	536	200	343	361	528
"USP46"	1685	804	2539	1565	2469	717	1384	1087	1999
"USP46-DT"	154	87	397	348	151	36	232	107	139
"USP47"	4799	1303	2361	3403	3615	1376	1635	2265	1822
"USP48"	6257	2448	4804	4358	6220	1112	2207	3828	2945
"USP49"	631	165	337	1233	520	211	647	350	1512
"USP5"	10725	5730	9672	7474	5797	2808	4386	8402	9192
"USP50"	9	0	1	4	3	4	3	0	3
"USP51"	388	168	161	450	352	106	671	193	352
"USP53"	4522	1560	12738	1101	7853	978	1827	13994	2115
"USP54"	10765	6638	3937	3861	5452	1904	2003	3488	4620
"USP6"	122	15	40	80	41	51	292	38	110
"USP6NL"	1687	1365	3548	2619	3543	1039	1997	3220	4286
"USP6NL-AS1"	1	0	4	4	0	0	1	1	5
"USP7"	6513	4760	11595	2902	5155	3241	4780	6152	8470
"USP7-AS1"	1	4	9	4	1	1	3	4	11
"USP8"	4888	2751	3672	2414	3716	1821	1536	4510	2763
"USP8P1"	4	2	5	3	4	2	7	3	0
"USP8P2"	0	1	1	1	0	0	0	1	2
"USP9X"	12845	7904	19389	13583	15818	8427	8179	9053	2803
"USP9Y"	1	0	2	1	0	1	0	0	0
"USP9YP1"	0	0	0	0	0	0	0	0	0
"USP9YP10"	0	0	0	0	0	0	0	0	0
"USP9YP11"	0	0	0	0	0	0	0	0	0
"USP9YP12"	0	0	0	0	0	0	0	0	0
"USP9YP13"	0	0	0	0	0	0	0	0	0
"USP9YP14"	0	0	0	1	0	0	0	0	0
"USP9YP15"	0	0	0	0	0	0	0	0	0
"USP9YP16"	0	0	0	0	0	0	0	0	0
"USP9YP17"	0	0	0	0	0	0	0	0	0
"USP9YP18"	0	0	0	0	0	0	0	0	0
"USP9YP19"	0	0	0	0	0	0	0	0	0
"USP9YP2"	0	0	0	0	0	0	0	0	0
"USP9YP20"	0	0	0	0	0	0	0	0	0
"USP9YP21"	0	0	0	0	0	0	0	0	0
"USP9YP22"	0	0	0	0	0	0	0	0	0
"USP9YP23"	0	0	0	0	0	0	0	0	0
"USP9YP24"	0	0	0	0	0	0	0	0	0
"USP9YP25"	0	0	0	0	0	0	0	0	0
"USP9YP26"	0	0	0	0	0	0	0	0	0
"USP9YP27"	0	0	0	0	0	0	0	0	0
"USP9YP28"	0	0	0	0	0	0	0	0	0
"USP9YP29"	0	0	0	0	0	0	0	0	0
"USP9YP3"	0	0	0	0	0	0	0	1	0
"USP9YP30"	0	0	0	0	0	0	0	0	0
"USP9YP31"	0	0	0	0	0	0	0	0	0
"USP9YP32"	0	0	0	0	0	0	0	0	0
"USP9YP33"	0	0	0	0	0	0	0	0	0
"USP9YP34"	0	0	0	0	0	0	0	0	0
"USP9YP35"	0	0	0	0	0	0	0	0	0
"USP9YP36"	0	0	0	0	0	0	0	0	0
"USP9YP4"	0	0	0	0	0	0	1	0	0
"USP9YP5"	0	0	0	0	0	0	0	0	0
"USP9YP6"	0	0	0	0	0	0	0	0	0
"USP9YP7"	0	0	0	0	0	0	0	0	0
"USP9YP8"	0	0	0	0	0	0	0	0	0
"USP9YP9"	0	0	0	0	0	0	0	0	0
"USPL1"	2074	966	1268	913	1721	691	682	833	988
"UST"	376	146	257	117	308	147	123	323	326
"UST-AS1"	0	0	0	0	0	0	0	0	1
"UST-AS2"	7	2	1	1	1	0	0	2	0
"UTF1"	2	9	1	2	10	7	2	5	2
"UTP11"	3203	931	1901	2676	3117	461	961	3003	2824
"UTP14A"	2705	1941	3105	2850	2453	1152	1429	1324	1000
"UTP14C"	3180	1237	2514	2443	2453	1230	1495	1381	1179
"UTP15"	1080	399	699	827	699	207	445	1420	503
"UTP18"	2463	1504	4341	1832	1535	792	1735	4544	1590
"UTP20"	1300	559	2020	1450	1171	670	1144	2227	2353
"UTP23"	3146	1934	3751	2378	1961	1158	653	5019	2097
"UTP25"	3575	1244	1374	4582	3427	1356	1933	4249	2252
"UTP3"	1632	1225	2034	4928	2455	615	1045	1700	1179
"UTP4"	2981	1514	2681	3772	3744	1080	1944	6795	2066
"UTP6"	2099	935	2748	2916	1815	761	1091	1920	1626
"UTRN"	7229	2288	6699	6958	3313	1804	3757	2685	3240
"UTS2"	4	0	2	9	4	2	1	0	1
"UTS2B"	24	7	15	35	23	6	13	15	15
"UTS2R"	24	4	3	5	5	3	1	1	6
"UTY"	1	1	0	0	0	0	0	1	0
"UVRAG"	1993	1108	1525	2441	2748	1136	2250	3351	3347
"UVRAG-DT"	11	6	13	5	9	6	13	19	6
"UVSSA"	1710	265	685	470	1243	304	247	477	1365
"UXS1"	4673	3048	4967	4912	5161	1452	3336	5957	3626
"UXT"	6662	6251	2213	10850	5224	1509	3064	6356	10999
"UXT-AS1"	97	32	18	113	44	16	50	64	49
"VAC14"	6558	1655	3559	6024	5042	1904	3695	7349	4254
"VAC14-AS1"	59	4	11	16	25	11	28	17	27
"VAMP1"	2095	1061	304	622	459	513	365	411	833
"VAMP2"	5482	3846	2949	9135	6637	2115	1677	2235	4712
"VAMP3"	9732	5734	8546	8943	12193	1551	2854	9311	5586
"VAMP4"	1252	1194	874	2446	1288	453	824	1363	1040
"VAMP5"	1114	513	490	737	1120	298	192	1313	425
"VAMP7"	3290	1641	2905	3636	4621	681	1637	2269	1395
"VAMP8"	5256	7858	8805	7387	10470	3116	2947	5978	5220
"VANGL1"	8208	3989	5403	9364	8279	3681	8137	3293	4657
"VANGL2"	6789	882	824	4084	6034	2425	5564	2199	3783
"VAPA"	12694	8297	7122	12356	9128	2241	6080	14267	8667
"VAPB"	4857	4113	6181	6189	7599	1394	3742	3885	3979
"VARS1"	5812	3441	14884	8192	6441	1808	4490	8477	4546
"VARS2"	2279	997	3052	3359	1280	806	1752	1428	2803
"VASH1"	2556	958	844	1062	2032	798	476	1228	1907
"VASH1-AS1"	132	44	116	67	78	46	36	71	48
"VASH2"	681	84	112	279	361	114	325	197	1564
