Gene symbol	B cells naive	B cells memory	T cells CD8	T cells CD4	NK cells	Monocytes	Macrophages M1	Macrophages M2
FAM124B	21.67016354	15.40803255	14.04816696	20.50088961	18.188607	29.15950369	9.129359328	22.79147187
FAM174B	117.7226808	92.46718738	94.16937409	104.0881916	37.77736037	39.85052889	57.84876862	68.59561619
FAM198B	9.800664188	16.43893928	4.526894401	8.45170015	10.27433459	515.249292	36.63587146	398.2258384
FAM212B	49.97014577	48.44610942	23.00981627	25.23626149	20.4848163	95.87273144	15.81931361	15.45266056
FAM65B	4719.699579	5267.741473	3376.093302	2808.159439	696.5310083	2428.861545	193.0268711	86.87890188
FASLG	342.8390554	274.6088916	169.2167794	140.8491762	2218.049204	108.383093	80.50952615	85.78259883
FBXL8	7.713639432	3.515112115	91.19310135	313.0593206	32.60848091	43.1055926	148.2319802	114.7348137
FCER1A	106.1351171	80.99986492	111.3010937	129.667324	98.18855945	622.2119019	56.54869661	801.8866109
FCER2	990.3077473	210.1913338	8.626141867	10.14786303	13.36812571	12.66527557	10.52617889	352.9280319
FCGR2B	3389.8606	4533.908058	65.97309417	30.69853755	181.4820226	287.6388369	311.314882	1548.943526
FCGR3B	434.6883898	191.9423831	178.1993614	133.7448215	369.6606901	402.4458452	154.0822062	155.6717837
FCN1	160.5487443	92.91123613	130.0754644	98.71765801	121.8089713	29800.42108	306.8296547	593.0958939
FCRL2	4384.737162	3466.953007	73.7221496	55.77947477	49.01458544	47.6563456	30.94941671	17.75900367
FES	8.544430362	8.676013229	9.520155138	6.024967349	258.841965	826.5409485	20.94215824	982.2000845
FFAR2	12.83845224	15.54382491	11.77579288	15.89364427	13.44126834	101.05938	454.5513273	87.81654144
FLJ13197	129.5124355	51.64103294	167.3200623	110.1171051	36.95107529	15.24807194	15.19584325	10.88684503
FLT3LG	26.22845437	56.33557728	1267.031752	1471.268235	367.4048158	69.27835254	18.188607	60.37056445
FLVCR2	69.18049192	86.59482486	83.37381583	145.8719106	88.34055902	566.9712028	1989.419532	951.2228505
FOSB	200.0093028	243.4082578	41.65285438	59.70898915	31.75264764	3422.450435	23.17042572	22.49743226
FOXP3	135.9782583	93.5353139	65.14694151	190.192431	56.57949837	76.15295297	171.731211	63.79022174
FPR1	361.3212533	387.2639146	210.2034137	240.3083941	303.3669097	9800.634834	801.8866109	408.5415267
FPR2	227.4506603	162.9187996	54.91749032	57.00754952	69.04044011	964.2419055	274.9365739	95.43864594
FPR3	325.6674246	243.6605005	105.807962	116.5979064	94.70041249	203.421307	608.2692535	2357.542622
FRK	138.3048999	125.3630578	26.38936082	5.639101241	6.694465385	7.43265118	3.762990897	3.129845825
